method,regime,episodes,objective_mean,objective_ci_low,objective_ci_high,objective_median,total_latency_ms_mean,total_latency_ms_ci_low,total_latency_ms_ci_high,total_latency_ms_median,communication_latency_ms_mean,communication_latency_ms_ci_low,communication_latency_ms_ci_high,communication_latency_ms_median,energy_mean,energy_ci_low,energy_ci_high,energy_median,device_switches_mean,device_switches_ci_low,device_switches_ci_high,device_switches_median,gap_vs_best_pct_mean,gap_vs_best_pct_ci_low,gap_vs_best_pct_ci_high,gap_vs_best_pct_median
random,congested,300,2.026949274862231,1.909866713579817,2.1440318361446447,1.7558709563466768,15677.787662151772,14211.382437440696,17144.192886862846,12246.95347161813,7590.426654441712,6872.447277415764,8308.40603146766,5655.8556878249765,27.765660739614262,26.562666873027204,28.96865460620132,25.82492878586445,6.776666666666666,6.630029516846213,6.9233038164871195,7.0,323.0205076534566,296.3445807261479,349.6964345807653,267.3350046190542
random,dynamic,300,1.4240267520540493,1.330234687564599,1.5178188165434996,1.195312577405931,11926.99495445351,10540.01979098496,13313.970117922061,8744.156598978949,3839.633946743451,3367.669496149168,4311.598397337734,2576.456157804986,27.765660739614262,26.562666873027204,28.96865460620132,25.82492878586445,6.776666666666666,6.630029516846213,6.9233038164871195,7.0,212.0791689236311,190.2695145071294,233.8888233401328,156.83844915835982
random,normal,300,1.1807291352632374,1.1121583786334184,1.2492998918930565,1.0379424931175536,10410.925722484531,9104.562039552755,11717.289405416308,7961.655283804264,2323.5647147744708,2110.702204750521,2536.4272247984204,1683.5112870153382,27.765660739614262,26.562666873027204,28.96865460620132,25.82492878586445,6.776666666666666,6.630029516846213,6.9233038164871195,7.0,163.24768227708802,146.54409071674286,179.95127383743318,128.24613359149163
round_robin,congested,300,1.6277786682659765,1.59719388634636,1.658363450185593,1.5944374894758941,12363.66003481304,11866.139393755646,12861.180675870433,11663.923391399567,5835.512259836962,5520.279526964241,6150.744992709682,5289.604019359728,25.75260872029911,24.78528925752905,26.71992818306917,25.646311270959835,9.0,9.0,9.0,9.0,238.56009424267947,229.73550840653104,247.3846800788279,224.77124840293766
round_robin,dynamic,300,1.216328561847915,1.1774977795237318,1.255159344172098,1.0901337782125604,9788.225015313561,9289.99472827989,10286.455302347233,8573.743507374711,3260.0772403374795,2957.154653214988,3562.999827459971,2190.6626950789514,25.75260872029911,24.78528925752905,26.71992818306917,25.646311270959835,9.0,9.0,9.0,9.0,165.6732050828964,156.37122747007635,174.97518269571646,141.6643140939899
round_robin,normal,300,0.9916095938244219,0.9780708281273929,1.005148359521451,0.9741702717792403,8324.856362145647,7938.235325253199,8711.477399038095,7553.0437349694375,1796.7085871695688,1705.560554593549,1887.8566197455884,1642.4987090984941,25.75260872029911,24.78528925752905,26.71992818306917,25.646311270959835,9.0,9.0,9.0,9.0,119.81202778357887,115.84393773391044,123.7801178332473,117.3163679669214
greedy_fastest_device,congested,300,1.0246356661765825,0.9905966031628209,1.0586747291903442,0.9564549549820409,3425.6726057531437,3208.735517004148,3642.6096945021395,2899.953832667309,2879.2399133925833,2661.524155893323,3096.9556708918435,2339.735695610084,46.826172524488584,44.99311125691156,48.659233792065606,45.885681797979586,0.006666666666666667,-0.0064528644604377955,0.01978619779377113,0.0,110.75401089622028,104.02907890307125,117.4789428893693,99.5612128709632
greedy_fastest_device,dynamic,300,0.7711243472366877,0.7444143183680376,0.7978343761053377,0.7074972358127732,1887.2827185611488,1733.622002808734,2040.9434343135638,1441.7472103501184,1340.850026200588,1187.1168860777123,1494.5831663234637,912.1295783447455,46.826172524488584,44.99311125691156,48.659233792065606,45.885681797979586,0.006666666666666667,-0.0064528644604377955,0.01978619779377113,0.0,67.50687932742217,62.06190120064045,72.95185745420389,58.549536074168515
greedy_fastest_device,normal,300,0.6960828458392495,0.6853126910626104,0.7068530006158886,0.6787785379033489,1440.720891312902,1375.9659922472229,1505.4757903785812,1292.0674736167564,894.2881989523412,831.628269730881,956.9481281738014,744.8442061948892,46.826172524488584,44.99311125691156,48.659233792065606,45.885681797979586,0.006666666666666667,-0.0064528644604377955,0.01978619779377113,0.0,54.54580425244287,51.42917891759859,57.66242958728715,53.39765610308758
greedy_communication_aware,congested,300,0.5398252633774493,0.5329538704915692,0.5466966562633294,0.5382840513553588,1685.9798067586985,1629.5378922886612,1742.4217212287358,1622.8380675338449,361.0461152782651,343.12169146903614,378.9705390874941,325.8785778652358,35.70208020297732,34.1774209300926,37.22673947586204,34.48939476892551,0.5966666666666667,0.5289541751171436,0.6643791582161898,1.0,10.86835131843313,9.722746470973522,12.013956165892736,8.655699226169624
