method,normal,congested,congested_increase_pct,dynamic,dynamic_increase_pct
dp_relaxed,0.4726338011256317,0.5054655281419441,6.946546552133999,0.48054548580460515,1.673956593906504
dqn,0.4564268806278253,0.49373663923655564,8.17431229234569,0.4649327580640369,1.8635794247068749
dqn_dynamic,0.4566710111560472,0.4897654817176192,7.2468954133511705,0.46406902717848536,1.6199880968381029
greedy_communication_aware,0.5301845974469815,0.5398252633774493,1.8183602422421972,0.5266852241709172,-0.660029222447234
greedy_fastest_device,0.6960828458392495,1.0246356661765825,47.20024668058084,0.7711243472366877,10.78054169068949
greedy_objective_aware,0.45825365178925476,0.5405481132474868,17.95827728527916,0.47464845106068165,3.5776690938333564
random,1.1807291352632374,2.026949274862231,71.66928589513742,1.4240267520540493,20.60570960134476
round_robin,0.9916095938244219,1.627778668265976,64.15519559345817,1.216328561847915,22.662040527139414
supervised_rf,0.4612199951319182,0.5009398894204738,8.611919411081685,0.4712798637757561,2.181143217990923
tabular_q_pooled,0.48008132147495475,0.5163449868724895,7.55365055364409,0.48898719249603195,1.8550755096481737
