method,num_layers,episodes,objective_mean,objective_ci_low,objective_ci_high,objective_median,total_latency_ms_mean,total_latency_ms_ci_low,total_latency_ms_ci_high,total_latency_ms_median,communication_latency_ms_mean,communication_latency_ms_ci_low,communication_latency_ms_ci_high,communication_latency_ms_median,energy_mean,energy_ci_low,energy_ci_high,energy_median,device_switches_mean,device_switches_ci_low,device_switches_ci_high,device_switches_median,gap_vs_best_pct_mean,gap_vs_best_pct_ci_low,gap_vs_best_pct_ci_high,gap_vs_best_pct_median,decision_runtime_us_per_layer_mean,decision_runtime_us_per_layer_ci_low,decision_runtime_us_per_layer_ci_high,decision_runtime_us_per_layer_median,decision_runtime_s_mean,decision_runtime_s_ci_low,decision_runtime_s_ci_high,decision_runtime_s_median
random,5,300,1.0201579226055657,0.9788876249965811,1.0614282202145504,0.9469989822037981,4300.862590745166,4002.1296225812243,4599.595558909107,3709.4042568947584,1882.3504241504745,1673.2740544142164,2091.426793886733,1457.6213142245888,11.722558001091453,11.210733465298988,12.234382536883919,11.042562370499846,3.0433333333333334,2.944022583961594,3.142644082705073,3.0,158.823955396875,147.30997372067114,170.33793707307885,137.7425800023545,7.274589190880458,6.840995472291732,7.708182909469183,6.633379962295294,3.6372945954402256e-05,3.4204977361458685e-05,3.854091454734583e-05,3.316689981147647e-05
random,10,300,1.1807291352632374,1.1121583786334184,1.2492998918930565,1.0379424931175536,10410.925722484531,9104.562039552755,11717.289405416308,7961.655283804264,2323.5647147744708,2110.702204750521,2536.4272247984204,1683.5112870153382,27.765660739614262,26.562666873027204,28.96865460620132,25.82492878586445,6.776666666666666,6.630029516846213,6.9233038164871195,7.0,163.22987108283323,146.53014825835237,179.92959390731409,128.24613359149163,6.600193873358269,6.479854628554722,6.720533118161817,6.21653744019568,6.600193873358164e-05,6.479854628554675e-05,6.720533118161653e-05,6.21653744019568e-05
random,20,300,2.0546416659907707,1.8828725185455373,2.2264108134360043,1.3527317686344023,64105.442564997946,54563.87905440229,73647.0060755936,24081.61246133044,2642.8634419601894,2429.812794218428,2855.914089701951,2195.0763398608765,84.38043056659382,79.83218809450966,88.92867303867797,79.01737075401499,14.293333333333333,14.080195891515672,14.506470775150994,14.0,304.4593076942361,271.4706627354772,337.44795265299496,165.85136177777565,6.5685108420439065,6.450510526633338,6.686511157454475,6.061457679606974,0.00013137021684082734,0.00012901021053261604,0.00013373022314903864,0.0001212291535921
random,30,300,3.151314020084368,2.9449101487761093,3.357717891392627,2.9171658517372956,230797.08165546754,202849.40008534084,258744.76322559424,151190.14990614564,2701.7608481995426,2480.6666652125627,2922.8550311865224,2259.277034591667,191.4472138642245,177.90950028105004,204.98492744739895,157.06462515796358,21.67,21.39730854138536,21.942691458614643,22.0,481.6954343666016,444.4140879120199,518.9767808211833,449.21223732621445,5.858894308201141,5.848495281264828,5.8692933351374545,5.838843450571099,0.00017576682924598533,0.00017545485843789587,0.00017607880005407478,0.00017516530351709998
round_robin,5,300,1.0179562530020818,1.008772118968164,1.0271403870359996,1.014022637102422,5037.790066095822,4870.667339617158,5204.912792574486,4968.496954036946,1522.7776993903599,1441.844950757296,1603.7104480234239,1372.0504155442359,9.94641215622249,9.609853374416069,10.28297093802891,9.922236311994554,4.0,4.0,4.0,4.0,157.5900721654435,153.3136827407437,161.8664615901433,153.92477398705188,1.573539882277449,1.5249413667501188,1.622138397804779,1.4750054106116297,7.867699411387245e-06,7.624706833750595e-06,8.110691989023895e-06,7.3750270530581474e-06
round_robin,10,300,0.9916095938244219,0.9780708281273929,1.005148359521451,0.9741702717792403,8324.856362145647,7938.235325253199,8711.477399038095,7553.0437349694375,1796.7085871695688,1705.560554593549,1887.8566197455884,1642.4987090984941,25.75260872029911,24.78528925752905,26.71992818306917,25.646311270959835,9.0,9.0,9.0,9.0,119.80140067945138,115.8334479843761,123.76935337452666,117.3163679669214,1.49631608898441,1.4551292910026217,1.5375028869661984,1.399993197992444,1.49631608898441e-05,1.4551292910026215e-05,1.5375028869661982e-05,1.399993197992444e-05
round_robin,20,300,2.151492583948139,2.0297588755496894,2.2732262923465885,1.682642656330192,73128.59662782022,64907.22636663471,81349.96688900574,39909.15138014895,2159.7907181014903,2061.431820578645,2258.1496156243356,1963.577595294055,84.35438060095794,79.89765608708697,88.8111051148289,76.6774076562814,19.0,19.0,19.0,19.0,323.90555691026105,300.74215695216054,347.06895686836157,246.25088954272593,1.4439999940805137,1.4120287403010294,1.475971247859998,1.3480079360306263,2.8879999881610274e-05,2.824057480602059e-05,2.951942495719996e-05,2.696015872061253e-05
round_robin,30,300,3.183253452182556,3.014571527927103,3.351935376438009,3.1274767629302334,240078.24680548042,213071.22053681433,267085.2730741465,166593.47570460415,2427.6900432923817,2328.7789183759023,2526.601168208861,2231.2778816235573,188.96911265490556,175.90556385537096,202.03266145444016,156.7619100229909,29.0,29.0,29.0,29.0,486.86753041583637,457.14275392774925,516.5923069039235,467.1565128990085,1.3529813020593588,1.3440051355280196,1.361957468590698,1.3395814069857201,4.058943906178077e-05,4.032015406584059e-05,4.0858724057720946e-05,4.01874422095716e-05
greedy_fastest_device,5,300,0.7498995301790838,0.7367682208717872,0.7630308394863805,0.7355801711515125,1132.8399721755122,1075.3890742978922,1190.2908700531323,1044.702000075938,904.7625706960183,848.211500450033,961.3136409420036,814.7040052809448,19.911748427865252,19.199401619600135,20.62409523613037,19.48379428184327,0.0,0.0,0.0,0.0,90.08193583544268,85.5686239395518,94.59524773133356,86.2411371534391,3.7994409600893655,3.33099027190219,4.267891648276541,3.19179380312562,1.8997204800446578e-05,1.665495135951109e-05,2.1339458241382065e-05,1.59589690156281e-05
greedy_fastest_device,10,300,0.6960828458392495,0.6853126910626104,0.7068530006158886,0.6787785379033489,1440.720891312902,1375.9659922472229,1505.4757903785812,1292.0674736167564,894.2881989523412,831.628269730881,956.9481281738014,744.8442061948892,46.826172524488584,44.99311125691156,48.659233792065606,45.885681797979586,0.006666666666666667,-0.0064528644604377955,0.01978619779377113,0.0,54.53825849055298,51.42160756041992,57.65490942068603,53.32476926096311,3.2245689847817025,3.1496392104823814,3.2994987590810236,2.9918563086539507,3.224568984781702e-05,3.149639210482381e-05,3.2994987590810234e-05,2.9918563086539507e-05
greedy_fastest_device,20,300,0.6642991375963838,0.6558953054780755,0.6727029697146921,0.6596466362646536,2695.2918800492066,2578.2741681348043,2812.309591963609,2525.119272861456,909.6444651378686,851.5911772596521,967.697753016085,816.6714170444153,139.3436424368172,131.85427480708157,146.83301006655282,126.72178337035669,0.15666666666666668,0.04639652067056507,0.26693681266276825,0.0,32.466963961326364,30.16298685672522,34.77094106592751,28.680468621879395,3.680722904391587,3.136293900770878,4.225151908012295,3.0114955734461546,7.361445808782831e-05,6.272587801541463e-05,8.450303816024199e-05,6.022991146892309e-05
greedy_fastest_device,30,300,0.659591440139158,0.6521541520825778,0.6670287281957383,0.6555885913932376,6153.018928480978,5575.626722964936,6730.4111339970195,4469.05501302735,982.6145687646601,920.0790841670334,1045.1500533622868,868.3930571766249,301.333579259126,281.03191123796023,321.63524728029176,254.0910912561232,1.4333333333333333,1.067746583292461,1.7989200833742056,0.0,23.326662699353555,21.539296331376,25.11402906733111,19.73543664183577,2.8929491268677845,2.881287810906215,2.904610442829354,2.869360226516922,8.67884738060323e-05,8.643863432718605e-05,8.713831328487855e-05,8.608080679550767e-05
greedy_communication_aware,5,300,0.4884620047357659,0.4822793954071666,0.4946446140643652,0.48826578240512686,639.653576459099,618.3384897810357,660.9686631371623,627.8165077990519,121.23131782815317,114.00189000376068,128.46074565254565,110.49201383978956,15.400830076317659,14.828868107085777,15.972792045549541,14.93898035296141,0.13,0.08953264929601872,0.17046735070398128,0.0,23.108525368732497,21.132438989509804,25.08461174795519,20.95517557831313,4.239997671296199,3.903869628702136,4.576125713890262,3.63748986274004,2.1199988356480793e-05,1.9519348143510637e-05,2.288062856945095e-05,1.81874493137002e-05
