method,load_level,episodes,objective_mean,objective_ci_low,objective_ci_high,objective_median,total_latency_ms_mean,total_latency_ms_ci_low,total_latency_ms_ci_high,total_latency_ms_median,communication_latency_ms_mean,communication_latency_ms_ci_low,communication_latency_ms_ci_high,communication_latency_ms_median,energy_mean,energy_ci_low,energy_ci_high,energy_median,device_switches_mean,device_switches_ci_low,device_switches_ci_high,device_switches_median,gap_vs_best_pct_mean,gap_vs_best_pct_ci_low,gap_vs_best_pct_ci_high,gap_vs_best_pct_median,loaded_device_share_mean,loaded_device_share_ci_low,loaded_device_share_ci_high,loaded_device_share_median
random,0.2,300,1.1811373577143576,1.1123221064765956,1.2499526089521196,1.037699015607169,10406.851163706631,9100.45337200545,11713.248955407813,7947.947851505844,2323.5647147744708,2110.702204750521,2536.4272247984204,1683.5112870153382,27.765660739614262,26.562666873027204,28.96865460620132,25.82492878586445,6.776666666666666,6.630029516846213,6.9233038164871195,7.0,163.3839655774215,146.7022290418205,180.0657021130225,128.54587275056988,0.24699999999999997,0.23158005874992554,0.2624199412500744,0.2
random,0.5,300,1.177864538584556,1.1107769753809837,1.2449521017881284,1.0355001654343376,10591.716926183344,9287.39959365572,11896.034258710968,8114.10234737945,2323.5647147744708,2110.702204750521,2536.4272247984204,1683.5112870153382,27.765660739614262,26.562666873027204,28.96865460620132,25.82492878586445,6.776666666666666,6.630029516846213,6.9233038164871195,7.0,157.23966809751593,141.04437681366826,173.4349593813636,123.67142395922475,0.24699999999999997,0.23158005874992554,0.2624199412500744,0.2
random,0.8,300,1.1691510150283806,1.1082033422364457,1.2300986878203155,1.0276008174890463,11386.409099293372,10088.86605099593,12683.952147590815,8864.488251068185,2323.5647147744708,2110.702204750521,2536.4272247984204,1683.5112870153382,27.765660739614262,26.562666873027204,28.96865460620132,25.82492878586445,6.776666666666666,6.630029516846213,6.9233038164871195,7.0,160.8731486004475,145.45407174543112,176.2922254554639,127.81230057676396,0.24699999999999997,0.23158005874992554,0.2624199412500744,0.2
round_robin,0.2,300,0.9915871432725551,0.9780230737040991,1.0051512128410112,0.9743665284011598,8319.503276157997,7932.842663450319,8706.163888865674,7519.923182845511,1796.7085871695688,1705.560554593549,1887.8566197455884,1642.4987090984941,25.75260872029911,24.78528925752905,26.71992818306917,25.646311270959835,9.0,9.0,9.0,9.0,119.87165806152474,115.93531464737231,123.80800147567717,117.67867443190124,0.24133333333333332,0.2357290523573566,0.24693761430931002,0.2
round_robin,0.5,300,0.9905926285469681,0.9776181951915375,1.0035670619023986,0.9697278302425236,8497.269276597539,8109.41688884412,8885.121664350958,7755.978452907772,1796.7085871695688,1705.560554593549,1887.8566197455884,1642.4987090984941,25.75260872029911,24.78528925752905,26.71992818306917,25.646311270959835,9.0,9.0,9.0,9.0,115.10629803736879,111.05741881765746,119.15517725708011,111.4054532275416,0.24133333333333332,0.2357290523573566,0.24693761430931002,0.2
round_robin,0.8,300,0.9887982365214422,0.9778850719639277,0.9997114010789566,0.9675722465325745,9239.018920675508,8843.928533813161,9634.109307537854,8540.840132652462,1796.7085871695688,1705.560554593549,1887.8566197455884,1642.4987090984941,25.75260872029911,24.78528925752905,26.71992818306917,25.646311270959835,9.0,9.0,9.0,9.0,119.41774801529299,115.24733364157953,123.58816238900644,116.0009176140734,0.24133333333333332,0.2357290523573566,0.24693761430931002,0.2
greedy_fastest_device,0.2,300,0.6961773066998315,0.6854025618910614,0.7069520515086015,0.6789852762299786,1440.255718635791,1375.6087054307573,1504.9027318408248,1292.0674736167564,893.8096082872643,831.2044813406685,956.41473523386,744.8442061948892,46.837753046059724,45.001807616901324,48.673698475218124,45.885681797979586,0.0,0.0,0.0,0.0,54.6157041800308,51.51416701963351,57.71724134042808,51.694688438172996,0.0,0.0,0.0,0.0
greedy_fastest_device,0.5,300,0.6938905384039162,0.6832072879884972,0.7045737888193353,0.6765540648550183,1440.255718635791,1375.6087054307573,1504.9027318408248,1292.0674736167564,893.8096082872643,831.2044813406685,956.41473523386,744.8442061948892,46.837753046059724,45.001807616901324,48.673698475218124,45.885681797979586,0.0,0.0,0.0,0.0,50.88290858536222,47.69780655662907,54.06801061409538,47.029073872484,0.0,0.0,0.0,0.0
greedy_fastest_device,0.8,300,0.6857369822430864,0.6753748678539938,0.6960990966321791,0.6682090337579256,1440.255718635791,1375.6087054307573,1504.9027318408248,1292.0674736167564,893.8096082872643,831.2044813406685,956.41473523386,744.8442061948892,46.837753046059724,45.001807616901324,48.673698475218124,45.885681797979586,0.0,0.0,0.0,0.0,52.34992209943582,48.967871637257176,55.73197256161447,47.938229457339844,0.0,0.0,0.0,0.0
greedy_communication_aware,0.2,300,0.5302586236679523,0.525851318141464,0.5346659291944406,0.5334922382447542,1127.7955588687553,1097.7639554370742,1157.8271623004364,1128.836692687335,175.2702986036129,168.53546067077326,182.00513653645254,173.15819544204595,40.12840083170731,38.48938559018073,41.76741607323389,39.46558897517363,0.9933333333333333,0.9507569222501141,1.0359097444165524,1.0,17.261108025613655,15.908821014417425,18.613395036809884,14.619914321413601,0.7193333333333334,0.7009495428575647,0.737717123809102,0.7
greedy_communication_aware,0.5,300,0.5668360076805566,0.5626790807348832,0.5709929346262301,0.5696978015306442,1371.7119248691233,1335.3154304314724,1408.1084193067743,1351.5941787650772,222.01307967551054,214.6354425421459,229.39071680887517,217.1153285539042,41.75766617504992,40.049214878819036,43.4661174712808,41.431073809398896,1.1666666666666667,1.124252813266714,1.2090805200666195,1.0,22.755754473487976,21.18598136789818,24.32552757907777,21.192838623806633,0.487,0.4686027887980257,0.5053972112019743,0.5
