method,episodes,objective_mean,objective_ci_low,objective_ci_high,objective_median,total_latency_ms_mean,total_latency_ms_ci_low,total_latency_ms_ci_high,total_latency_ms_median,compute_latency_ms_mean,compute_latency_ms_ci_low,compute_latency_ms_ci_high,compute_latency_ms_median,communication_latency_ms_mean,communication_latency_ms_ci_low,communication_latency_ms_ci_high,communication_latency_ms_median,energy_mean,energy_ci_low,energy_ci_high,energy_median,device_switches_mean,device_switches_ci_low,device_switches_ci_high,device_switches_median,memory_violations_mean,memory_violations_ci_low,memory_violations_ci_high,memory_violations_median,decision_runtime_us_per_layer_mean,decision_runtime_us_per_layer_ci_low,decision_runtime_us_per_layer_ci_high,decision_runtime_us_per_layer_median,optimality_gap_pct_mean,optimality_gap_pct_ci_low,optimality_gap_pct_ci_high,optimality_gap_pct_median,gap_vs_best_pct_mean,gap_vs_best_pct_ci_low,gap_vs_best_pct_ci_high,gap_vs_best_pct_median,gap_vs_dp_bound_pct_mean,gap_vs_dp_bound_pct_ci_low,gap_vs_dp_bound_pct_ci_high,gap_vs_dp_bound_pct_median
random,300,1.0201579226055657,0.9788876249965811,1.0614282202145504,0.9469989822037981,4300.862590745166,4002.1296225812243,4599.595558909107,3709.4042568947584,2418.5121665946913,2194.2210854484915,2642.803247740891,1901.0401710008334,1882.3504241504745,1673.2740544142164,2091.426793886733,1457.6213142245888,11.722558001091453,11.210733465298988,12.234382536883919,11.042562370499846,3.0433333333333334,2.944022583961594,3.142644082705073,3.0,0.0,0.0,0.0,0.0,6.386601831763983,6.339769604558536,6.433434058969429,6.3332379795610905,158.823955396875,147.72386216700724,170.41724774870193,137.7425800023545,158.823955396875,147.30997372067114,170.33793707307885,137.7425800023545,166.31625762610457,154.54232383520184,178.0901914170073,143.18004272192618
round_robin,300,1.0179562530020818,1.008772118968164,1.0271403870359996,1.014022637102422,5037.790066095822,4870.667339617158,5204.912792574486,4968.496954036946,3515.0123667054622,3370.683337240712,3659.3413961702126,3386.133501846334,1522.7776993903599,1441.844950757296,1603.7104480234239,1372.0504155442359,9.94641215622249,9.609853374416069,10.28297093802891,9.922236311994554,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.4258671241501968,1.4220323020045242,1.4297019462958693,1.424970105290413,157.5900721654435,153.370569057496,161.8693236690812,153.92477398705188,157.5900721654435,153.3136827407437,161.8664615901433,153.92477398705188,165.24166100211315,160.88793214476624,169.59538985946006,160.65407173911308
greedy_fastest_device,300,0.7498995301790838,0.7367682208717872,0.7630308394863805,0.7355801711515125,1132.8399721755122,1075.3890742978922,1190.2908700531323,1044.702000075938,228.07740147949372,219.26009246747347,236.89471049151396,214.913326310115,904.7625706960183,848.211500450033,961.3136409420036,814.7040052809448,19.911748427865252,19.199401619600135,20.62409523613037,19.48379428184327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.117638174444437,3.022085151406751,3.2131911974821232,3.016390837728977,90.08193583544268,85.68662316831103,94.66499832847545,86.2411371534391,90.08193583544268,85.5686239395518,94.59524773133356,86.2411371534391,95.58140081883978,91.04932095059142,100.11348068708814,92.80408634320736
greedy_communication_aware,300,0.4884620047357659,0.4822793954071666,0.4946446140643652,0.48826578240512686,639.653576459099,618.3384897810357,660.9686631371623,627.8165077990519,518.4222586309457,499.47636046514674,537.3681567967448,511.03933877306304,121.23131782815317,114.00189000376068,128.46074565254565,110.49201383978956,15.400830076317659,14.828868107085777,15.972792045549541,14.93898035296141,0.13,0.08953264929601872,0.17046735070398128,0.0,0.0,0.0,0.0,0.0,3.4348260766516128,3.421122548608686,3.4485296046945395,3.425031900405884,23.108525368732497,21.16745381355014,25.094142282199908,20.95517557831313,23.108525368732497,21.132438989509804,25.08461174795519,20.95517557831313,26.79095198316877,24.765453838132274,28.81645012820527,24.8153055457219
greedy_objective_aware,300,0.4029675681301681,0.39656012724268835,0.40937500901764784,0.39990374979299914,1464.1727502089843,1404.511655978798,1523.8338444391707,1430.0671454358865,1380.9778931549101,1321.954699596509,1440.0010867133112,1343.6578557521866,83.19485705407396,78.25254516281129,88.13716894533664,75.97568637131144,8.37236911880295,7.995634780851611,8.74910345675429,7.760870201570419,0.09333333333333334,0.060226610563319266,0.1264400561033474,0.0,0.0,0.0,0.0,0.0,3.0968196224421263,3.0800112670324706,3.113627977851782,3.075296990573406,0.25485259466912485,0.10297981891112576,0.4978723364673962,0.0,0.25485259466912485,0.04849454632660519,0.4612106430116445,0.0,3.262497486725064,2.9929936780754263,3.5320012953747018,2.889741555015015
dp_relaxed,300,0.40250338515785916,0.39605967225442634,0.408947098061292,0.3994547397793337,1486.842228594347,1423.7532580774066,1549.9311991112875,1433.2620435926729,1404.1679798055106,1341.0623752350393,1467.273584375982,1348.747057136336,82.67424878883654,77.7888572953776,87.55964028229548,74.82189821588588,8.231992439729995,7.869090231309552,8.594894648150436,7.74682709293118,0.006666666666666667,-0.0025947165401709717,0.015928049873504307,0.0,0.0,0.0,0.0,0.0,33.686475517849125,33.62584636245345,33.7471046732448,33.5165997967124,0.11913066476132048,0.05797536920760655,0.19566196929270532,0.0,0.11913066476132048,0.04862608777014528,0.1896352417524957,0.0,3.1253830507056235,2.9252728630440137,3.3254932383672333,2.8231125276275666
exhaustive,300,0.40192532479455484,0.3955925551385641,0.40825809445054556,0.3994547397793337,1423.4633347237586,1364.931373551069,1481.9952958964482,1382.064460374113,1339.3684911204061,1280.7188193207087,1398.0181629201036,1282.359224336095,84.09484360335253,79.19720956179816,88.9924776449069,75.97568637131144,8.538321622594959,8.129586448241133,8.947056796948784,7.94666123327554,0.04666666666666667,0.0226617745306513,0.07067155880268204,0.0,0.0,0.0,0.0,0.0,8627.125974589339,8617.137178841818,8637.114770336859,8626.641693990678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0024526855246036,2.817817520101923,3.187087850947284,2.7823557086668362
